Código proyecto,Nombre proyecto,Cliente,Industria,Categoría principal,Participantes,Tags,Contraparte,Cargo contraparte,Fecha Inicio,Fecha término,Resumen proyecto,Link,Modificado por,Creado,Modificado,Encargado de proyecto N°1 (Creador Proyecto/Modificador PREZ Antiguo),Encargado de proyecto N°2 (Participante Antiguo),Encargado de proyecto N°3 (Modificador PREZ reciente)
SQM06,Modelo de gestión integrado Supply Chain,SQM,Minería,Mixto,"[""Alejandra Loyola"",""Andrés Justiniano"",""Felipe Zorzano"",""Gastón Iver"",""Josefina Guridi"",""Magdalena Gálvez"",""Sebastián Camus""]","[""Coaching"",""Benchmark"",""Capacitación"",""Definiciones estratégicas"",""Desarrollo ejecutivo"",""Descriptor de cargo"",""Desvinculación"",""Diagnostico"",""Dinámica de equipo"",""DISC"",""Eficiencia"",""Estructura"",""KPIs"",""Levantamiento de agenda"",""Liderazgo"",""Mapeo de procesos"",""Modelo operativo"",""Plan de comunicación"",""Plan de implementación"",""Poblamiento de la estructura"",""Propósito"",""RACI"",""Seguimiento"",""Socio estratégico""]",Germán Pérez,Gerente Supply Chain,6/8/2023,14/9/2023,"Rediseño del modelo de gestión para la Gerencia de Supply Chain, definiendo roles y responsabilidades (ajustes a la estructura organizacional y eficiencias en dotación), rutinas de coordinación y KPI de gestión para las distintas áreas de la Gerencia",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM06 - Modelo de gestión integrado Supply Chain,Josue Meneses,7/4/2025 7:48 AM,7/30/2026 3:47 PM,Constanza Aguilera,Sebastián Camus Solari,Javier de Petris
SQM08,Impulsando la transformación NY,SQM,Minería,Mixto,"[""Alejandra Loyola"",""Cristina Montes"",""José Miguel Sepúlveda"",""Juan Pablo Vega"",""Magdalena Gálvez"",""Magdalena Llona"",""Roberto Ragazzone"",""Sebastián Cifuentes"",""Sofía Gillet""]","[""Alineamiento ejecutivo"",""Benchmark"",""Bonos"",""Compensaciones"",""Convenios colectivos"",""Definiciones estratégicas"",""Estructura"",""Evaluación 360°"",""Evaluación de desempeño"",""Focos estratégicos"",""Incentivos"",""KPIs"",""Levantamiento de agenda"",""Liderazgo"",""Mapeo de stakeholders"",""Modelo de talento"",""Plan de implementación"",""Prioridades estratégicas"",""Roadmap""]",Pablo Altimiras y Rodrigo Jasen,Gerente General NY y VP Personas y Cultura,18/12/2023,29/3/2024,"Diseñar la agenda del CEO que permita habilitar la transformación de NY y desarrollar temas clave de la VP Personas y Cultura para habilitar a la organización en la transformación (Prioridades y Objetviso 2024, RR.LL., Incentivos, Mapeo de Talento) ",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM08 - Impulsando la transformación NY,Josue Meneses,7/4/2025 7:52 AM,8/10/2026 9:50 AM,Constanza Aguilera,Juan Pablo Vega,Javier de Petris
SQM09,Acuerdo de asociación con Codelco,SQM,Minería,Mixto,"[""Alberta Cardemil"",""Alejandra Loyola"",""Honorino Landa"",""Josefina Guridi"",""Juan Pablo Vega"",""Loredanna Celleri""]","[""Dinámica de equipo"",""Estructura"",""Plan de comunicación"",""Plan de implementación"",""Seguimiento"",""Socio estratégico""]",Hernán Uribe,Gerente de Negocios,31/1/2024,25/4/2024,"Acompañamiento y rol de PMO para concensuar las definiciones requeridas para el Acuerdo de asociación con Codelco. Además, se confeccionó una hoja de ruta 2024 con las actividades requeridas para la habilitación de las definiciones clave
",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM09 - Condiciones y hoja de ruta para el acuerdo con Codelco,Josue Meneses,7/4/2025 7:56 AM,8/7/2026 9:46 AM,Constanza Aguilera,Juan Pablo Vega,Sebastián Camus Solari
SQM10,Definiciones clave para conformación de SQM International Lithium,SQM,Minería,Mixto,"[""Alberta Cardemil"",""Ángela Garafulic"",""Josefina Cruz"",""Roberto Ragazzone"",""Sebastián Camus"",""Nicolás Díaz""]","[""Benchmark"",""Comités"",""Compensaciones"",""Cultura organizacional"",""Definiciones estratégicas"",""Descriptor de cargo"",""Directorio"",""Estructura"",""Modelo de gobierno"",""Onboarding"",""Plan de comunicación"",""Plan de gestión del cambio"",""Poblamiento de la estructura"",""Prioridades estratégicas"",""RACI"",""Reclutamiento"",""Roadmap"",""Socio estratégico""]",Mark Fones,CEO SQM International Lithium,19/2/2024,31/5/2024,Definiciones clave y modelo organizacional para conformación de SQM International Lithium,/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM10 - Definiciones clave SQM Blue,Josue Meneses,7/4/2025 7:57 AM,7/30/2026 4:06 PM,Sebastián Camus Solari,Sebastián Camus Solari,
SQM11,La ruta del Propósito,SQM,Minería,Sistema organizacional,"[""Alejandra Loyola"",""Alfonso Undurraga"",""Andrés Mercado"",""Honorino Landa"",""Josefina Cruz"",""Josefina Guridi"",""Magdalena Llona""]","[""Agentes de cambio"",""Alineamiento ejecutivo"",""Comités"",""Cultura organizacional"",""Definiciones estratégicas"",""Plan de comunicación"",""Plan de gestión del cambio"",""Plan de implementación"",""Propósito""]",Pablo Altimiras,Gerente General,18/4/2024,22/8/2024,"Definición y comunicación del propósito y valores de SQM YNV mediante un proceso participativo y global de los equipos de la compañía. El objetivo final fue alinear a la organización bajo un propósito común, que la preparase para los desafíos futuros.
",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM11 - Propósito y valores,Josue Meneses,7/4/2025 8:49 AM,8/20/2026 7:16 AM,Constanza Aguilera,Andrés Mercado,Florencia Santa Cruz
SQM12,Relacionamiento Gerencia de Finanzas Litio Salar,SQM,Recursos naturales,Mixto,"[""Alejandra Loyola"",""Francisco Croquevielle"",""Loredanna Celleri"",""Matías González"",""Sebastián Camus""]","[""Alineamiento ejecutivo"",""Ciclo de gobierno"",""Comités"",""Definiciones estratégicas"",""Diagnostico"",""Directorio"",""Implementación de sistemas"",""Liderazgo"",""Mapeo de procesos"",""Mapeo de stakeholders"",""Mejores practicas"",""Modelo de gobierno"",""Plan de implementación"",""RACI"",""Seguimiento""]",Macarena Briseño,Gerente Contraloría y Gestión,7/8/2024,26/8/2024,Formalización del relacionamiento de la Gerencia de Finanzas SQM Litio Salar,/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM12 - Modelo de relacionamiento SQM Finanzas,Josue Meneses,7/4/2025 8:52 AM,7/30/2026 3:57 PM,Francisco Croquevielle,Francisco Croquevielle,
SQM13,Talento y Desempeño,SQM,Minería,Sistema organizacional,"[""Alejandra Loyola"",""Cristina Montes"",""Josefina Cruz"",""Sebastián Cifuentes"",""Vicente Chadwick""]","[""Evaluación 360°"",""Evaluación de desempeño"",""Modelo de talento""]",Ignacio Neira,Gerente Cultura y Desarrollo Organizacional,22/7/2024,21/10/2024,"Desarrollo en conjunto con la VP de Personas y Cultura para definir el ciclo de Talento dentro de NY, realizar un mapeo de la 3ra línea y entregar herramientas para apoyar el proceso de retroalimentación",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM13 - Talento y Desempeño,Josue Meneses,7/4/2025 8:55 AM,7/30/2026 3:59 PM,,Vicente Chadwick,
SQM14,Modelo de Gestión VP de Finanzas Int. Lithium,SQM,Minería,Mixto,"[""Alfonso Undurraga"",""Benjamín Matte"",""Francisco Croquevielle"",""José Miguel Sepúlveda"",""Loredanna Celleri"",""Matías González""]","[""Alineamiento ejecutivo"",""Benchmark"",""Comités"",""Desarrollo ejecutivo"",""Diagnostico"",""Eficiencia"",""Estructura"",""Implementación de sistemas"",""KPIs"",""Mapeo de procesos"",""Mejores practicas"",""Modelo operativo"",""Plan de implementación"",""Poblamiento de la estructura"",""Roadmap""]",Álvaro Araya,VP de Finanzas SQM Int. Lithium,9/9/2024,10/11/2024,"Desarrollo y ajustes al modelo de gestión de la VP de Finanzas mapeando y diseñando procesos clave de la Gerencia, detallando servicios a recibir mediante TSA y definiendo la estrcutura organizacional base, y el roadmap al 2025",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM14 - Modelo de gestión VP Finanzas Int. Lithium,Josue Meneses,7/4/2025 8:57 AM,7/30/2026 3:59 PM,Francisco Croquevielle,Francisco Croquevielle,
CMPC04,Diseño Organizacional Oficinas Internacionales,CMPC,Recursos naturales,Mixto,"[""Andrés Justiniano"",""Ángela Garafulic"",""Honorino Landa"",""Magdalena Llona"",""Pablo Murillo"",""Sebastián Camus"",""Sebastián Cifuentes"",""Sofía Gillet""]","[""Alineamiento ejecutivo"",""Definiciones estratégicas"",""Descriptor de cargo"",""Directorio"",""Estructura"",""KPIs"",""Modelo de gobierno"",""Modelo operativo"",""Plan de comunicación"",""Plan de gestión del cambio"",""Plan de implementación"",""Prioridades estratégicas"",""Quick wins"",""RACI"",""Roadmap"",""Seguimiento""]",Constanza Arjona,Gerente Supply Chain Celulosa,11/7/2023,17/5/2024,Diseño e implementación del nuevo modelo operativo de las Oficinas Internacionales de CMPC,/sites/Proyectos-TheHouse/Documentos compartidos/CMPC/CMPC04 - Diseño organizacional oficinas internacionales,Josue Meneses,7/4/2025 9:00 AM,7/23/2026 8:04 AM,Pablo Murillo,Sebastián Camus Solari,
CMPC05,Metodología para el diseño de modelos operativos,CMPC,Recursos naturales,Mixto,"[""Alejandra Loyola"",""Benjamín Matte"",""Cristina Montes"",""Pablo Murillo"",""Sofía Gillet""]","[""Capacitación"",""Diagnostico"",""Estructura"",""KPIs"",""Mapeo de procesos"",""Mejores practicas"",""Modelo operativo"",""RACI"",""Roadmap""]",Florencia Iglesias y María José Valenzuela,Gerente P&O y Gerente Talento y Cultura,6/3/2024,7/11/2024,Desarrollar una metodología común para el diseño de Modelos Operativos CMPC y un diagnóstico y priorización de sistemas o áreas a intervenir,/sites/Proyectos-TheHouse/Documentos compartidos/CMPC/CMPC05 - Metodología para el diseño de modelos operativos en CMPC,Josue Meneses,7/4/2025 9:04 AM,8/20/2026 8:21 AM,Benjamin Matte,Benjamin Matte,Sofía Figueroa
CMPC06,Plan de Competitividad 2030 Para Bosques Chile,CMPC,Recursos naturales,Eficiencia operacional,"[""Alberta Cardemil"",""Alejandra Loyola"",""Andrés Mercado"",""Honorino Landa"",""José Miguel Sepúlveda"",""Roberto Ragazzone"",""Sebastián Camus"",""Nicolás Díaz""]","[""Benchmark"",""Definiciones estratégicas"",""Eficiencia"",""Iniciativas estratégicas"",""Integración"",""KPIs"",""Modelo de gobierno""]",Felipe Alcalde,Gerente de innovación,25/7/2024,10/10/2024,"Assessment de competitividad de Bosques Chile y definición de del máximo potencial, y estructuración del Plan de Competitividad mediante el diseño de un roadmap integrado con iniciativas y un sistema de seguimiento",/sites/Proyectos-TheHouse/Documentos compartidos/CMPC/CMPC06 - Plan de Competitividad 2030,Josue Meneses,7/4/2025 9:07 AM,7/23/2026 9:35 AM,Vicente Chadwick,Andrés Mercado,
CMPC07,Digital project for variable expense in United States,CMPC,Recursos naturales,Mixto,"[""Alfonso Undurraga"",""Sofía Delano""]","[""Caso de negocio""]",Alejandra Pavón,International Offices Manager,8/6/2024,1/10/2024,"Análisis de la variabilidad de los gastos variables de las distintas etapas de la cadena logística en Estados Unidos, mediante la extracción de datos de facturas con foco en las etapas de transporte. ",/sites/Proyectos-TheHouse/Documentos compartidos/CMPC/CMPC07 - Predictive machine learning model,Josue Meneses,7/4/2025 9:07 AM,7/23/2026 8:06 AM,,Alfonso Undurraga Bordeu,
CSC07,Implementación modelo de gestión de Operaciones 2.0,Cenco Malls,Retail,Eficiencia operacional,"[""Ángela Garafulic"",""Josefina Cruz"",""Benjamín Matte"",""Matías González"",""Nicolás Díaz""]","[""Productividad"",""Plan de implementación"",""Agentes de cambio"",""Seguimiento"",""Modelo operativo""]",Roberto Petersen,Gerente Operaciones Chile,21/4/2025,7/11/2025,Se implemento un modelo de gestión en 12 centros comerciales en Chile,/sites/Proyectos-TheHouse/Documentos compartidos/Cenco malls/CSC07 - Implementación Modelo de Gestión,Josue Meneses,10/7/2025 7:33 AM,7/23/2026 9:32 AM,,Benjamin Matte,
MSB01,Diseño Modelo Operativo A+ Minera Salar Blanco,Minera Salar Blanco S.A.,Minería,Sistema organizacional,"[""Alfonso Undurraga"",""Josefina Cruz"",""Matías González"",""Vicente Chadwick"",""Tomás Concha"",""Elisa Robinson"",""Andrés Mercado""]","[""Modelo operativo"",""Alineamiento ejecutivo"",""Estructura"",""Plan de implementación"",""Ciclo de gobierno"",""Descriptor de cargo"",""Equipos de alto desempeño"",""RACI"",""Mapeo de procesos"",""Taller de aprendizajes""]",Felipe Kilian,Gerente General,28/7/2025,29/10/2025,"Definición de principales funciones, macroprocesos y estructura crítica a para abordar los desafíos de MSB al 2026-2027",/sites/Proyectos-TheHouse/Documentos compartidos/Minera Salar Blanco/MSB01 - Diseño Modelo Operativo A+,Josue Meneses,10/7/2025 1:13 PM,8/11/2026 1:05 PM,Vicente Chadwick,Elisa  Robinson,Gerardo Boetsch
PAR04,Modelo de Abastecimiento Corporativo,Parque Arauco,Retail,Eficiencia operacional,"[""Juan Pablo Vega"",""Elisa Robinson"",""Vicente Chadwick"",""Sebastián Cifuentes"",""Alfonso Undurraga"",""José Miguel Sepúlveda""]","[""KPIs"",""Plan de gestión del cambio"",""Plan de comunicación"",""Modelo operativo"",""Diagnostico"",""Optimización de procesos"",""Descriptor de cargo"",""RACI"",""Mapeo de procesos"",""Eficiencia"",""Estructura"",""Benchmark"",""Caso de negocio"",""Plan de implementación""]",Sonia Rossel,Subgerente Gestión de Proveedores Parque Arauco,5/12/2025,12/3/2025,"Rediseño del Modelo de Abastecimiento en Parque Arauco.
El proyecto contempla la implementación de nuevas rutinas y la modificación de las existentes; la reestructuración de la Gerencia de Abastecimiento, incluyendo la redefinición de roles y responsabilidades; y el desarrollo de un plan de comunicación y gestión del cambio.",/sites/Proyectos-TheHouse/Documentos compartidos/Parque Arauco/PAR04 - Modelo de Abastecimiento Corporativo,Josue Meneses,10/8/2025 7:03 AM,8/5/2026 10:08 AM,Elisa  Robinson,Elisa  Robinson,Juan Pablo Vega
RIO01,RIO01 - Roadmap for Rio Tinto Chile's Growth,Rio Tinto,Minería,Sistema organizacional,"[""Alejandra Loyola"",""José Miguel Sepúlveda"",""Mariana Hernández"",""Matías González"",""Pablo Murillo"",""Andrés Mercado"",""Benjamín Matte"",""Sofía Delano"",""Javier de Petris""]","[""Estructura"",""Roadmap"",""RACI"",""Modelo operativo"",""Comités"",""Plan de implementación"",""Diagnostico""]",Soledad Jeria,Country Head,7/2/2025,26/9/2025,"El proyecto busca evaluar el estado actual de las alianzas tempranas de Rio Tinto en Chile, identificando riesgos, requerimientos futuros y capacidades existentes. Además, analiza las implicancias de los acuerdos con socios estatales para la gestión de las JV, define roles y responsabilidades clave para el desarrollo de los proyectos y propone planes de transición para cada función",/sites/Proyectos-TheHouse/Documentos compartidos/Rio Tinto/RIO01 - Roadmap for Rio Tinto Chile’s Growth,Josue Meneses,10/8/2025 11:15 AM,8/10/2026 6:14 PM,Andrés Mercado,Javier de Petris,Javier de Petris
FK01,FK01 - Planificación estratégica,Fundación Kennedy,Non-profit,Estrategia,"[""Nicolás Díaz"",""Matías González"",""Sebastián Camus"",""Benjamín Matte"",""Javier de Petris""]","[""Benchmark"",""Roadmap"",""Prioridades estratégicas"",""Mapeo de stakeholders"",""Mapeo de procesos"",""Engagement"",""Planificación estratégica""]",Maria Jose Dominguez,Directora Ejecutiva,15/4/2025,29/7/2025,"Planificación estratégica para el non-profit Fundación Kennedy, iniciando con un assessment estratégico y culminando con definiciones estratégicas y una hoja de ruta al 2030",/sites/Proyectos-TheHouse/Documentos compartidos/Fundación Kennedy - Humedales/FK01 - Planificación estratégica,Josue Meneses,10/8/2025 4:09 PM,7/23/2026 6:26 PM,Vicente Chadwick,Javier de Petris,
MCI01,Operating Model and Governance for the Marimaca Project,Mitsubishi,Minería,Sistema organizacional,"[""Miguel Mondaca"",""Honorino Landa"",""Alfonso Undurraga"",""Nicolás Díaz"",""Sebastián Cifuentes"",""José Miguel Sepúlveda"",""Sofía Gillet"",""Sofía Delano"",""Mijael Thiele""]","[""Estructura"",""Roadmap"",""Benchmark"",""Cultura organizacional"",""Plan de implementación"",""Comités"",""KPIs"",""Modelo operativo"",""Diagnostico"",""Ciclo de gobierno"",""Propósito"",""Descriptor de cargo"",""Modelo de gobierno"",""Directorio""]",Ángel Milano,Gerente General MCI,6/1/2025,18/3/2025,"Diseño del Modelo Operativo y Gobernanza para una futura organización (JV) de Mitsubishi, el cuál buscaba operar el futuro yacimiento ""Marimaca""",/sites/Proyectos-TheHouse/Documentos compartidos/Mitsubishi/MCI01 - Operating Model and Governance for the Marimaca Project,Josue Meneses,10/9/2025 6:29 AM,7/23/2026 6:05 PM,,Miguel Mondaca,
SQM15,SQM15 - Definición de estándares corporativos,SQM,Minería,Sistema organizacional,"[""Alejandra Loyola"",""Ángela Garafulic"",""José Miguel Sepúlveda"",""Josefina Cruz"",""Loredanna Celleri"",""Matías González"",""Nicolás Díaz"",""Tomás Álvarez""]","[""Benchmark"",""Estructura"",""Plan de implementación"",""Comités"",""Modelo operativo"",""Diagnostico"",""Ciclo de gobierno"",""Derco"",""Asuntos corporativos"",""Mapeo de procesos""]",Gerardo Illanes,CFO SQM Corporativo,25/11/2024,31/1/2025,,/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM15 - Estándares corporativos de gestión,Josue Meneses,10/16/2025 6:34 AM,7/30/2026 3:19 PM,,Jose Miguel Sepúlveda Donoso,
FALP01,Sistema de Gobierno FALP,Fundación Arturo López Pérez (FALP),Salud,Sistema organizacional,"[""Alejandra Loyola"",""Honorino Landa"",""Tomás Álvarez"",""Josefa Arias""]","[""Benchmark"",""Comités"",""Diagnostico"",""Ciclo de gobierno"",""Modelo de gobierno"",""Directorio"",""RACI""]",Rolando Medeiros,Presidente del Directorio,24/6/2025,5/8/2025,,/sites/Proyectos-TheHouse/Documentos compartidos/Fundación Arturo López Pérez (FALP)/FALP01 - Sistema de gobierno Fundación Arturo López Pérez,Josue Meneses,10/16/2025 7:02 AM,7/24/2026 12:53 PM,,Josefa  Arias,Florencia Santa Cruz
FAS01,FAS01 - Eficiencia Organizacional,Forestal Atlántico Sur (FAS),Recursos naturales,Eficiencia operacional,"[""Alejandra Loyola"",""Pablo Murillo"",""Honorino Landa"",""Sebastián Camus"",""Tomás Álvarez""]","[""Benchmark"",""Estructura"",""Eficiencia"",""Diagnostico"",""Compensaciones"",""Incentivos""]",Nelson Ledesma - Pedro Aramendía,Gerente General - Managing Director,2/6/2025,19/10/2025,,/sites/Proyectos-TheHouse/Documentos compartidos/Forestal Atlántico Sur/FAS01 - Eficiencia organizacional,Josue Meneses,10/16/2025 8:52 AM,7/23/2026 6:28 PM,Vicente Chadwick,Sebastián Camus Solari,
COL09,Presentación estratégica Jorge Gómez,Collahuasi,Minería,Estrategia,"[""Honorino Landa"",""Sebastián Camus""]","[""Planificación estratégica"",""Benchmark"",""Alineamiento ejecutivo"",""Propósito""]",Jorge Gómez,Gerente General,8/1/2024,19/1/2024,"Apoyo en presentación para jornada estratégica de Collahuasi, incluyendo contexto y dinámica de propósito",/sites/Proyectos-TheHouse/Documentos compartidos/Collahuasi/COL09 - Presentación estratégica J. Gómez,Josue Meneses,10/16/2025 4:19 PM,7/23/2026 7:10 AM,Sebastián Camus Solari,Sebastián Camus Solari,
MITTA01,MITTA01 - Estrategia de Crecimiento MITTA 2025-2030,MITTA,,Estrategia,"[""Alejandra Loyola"",""José Miguel Sepúlveda"",""Andrés Justiniano"",""Nicolás Díaz"",""Francisco Croquevielle"",""Tomás Álvarez"",""Sebastián Cifuentes""]","[""Estructura"",""Prioridades estratégicas"",""Plan de implementación"",""Diagnostico"",""Focos estratégicos"",""Iniciativas estratégicas"",""Planificación estratégica"",""Descriptor de cargo"",""Adyacencias"",""Negocio base"",""Poblamiento de la estructura""]",Ignacio Correa,Gerente General,18/8/2025,17/10/2025,,/sites/Proyectos-TheHouse/Documentos compartidos/MITTA/MITTA01 - Planificación Estratégica,Josue Meneses,10/17/2025 12:49 PM,8/11/2026 2:40 PM,Consuelo Moreno,Francisco Croquevielle,Martín Rosenfeld
FSM01,Planificación estratégica a 2030 Fundación Soymás,Fundación Soymás,Educación,Estrategia,"[""Mariana Hernández"",""Josefa Arias""]","[""Prioridades estratégicas"",""Definiciones estratégicas"",""Focos estratégicos"",""Iniciativas estratégicas"",""Planificación estratégica""]",Bárbara Etcheberry y Catalina Diez,Directora & CFO,,,,/sites/Proyectos-TheHouse/Documentos compartidos/Fundación Soymás/FSM01 - Planificación estratégica,Josue Meneses,10/22/2025 10:50 AM,8/9/2026 7:02 PM,Vicente Chadwick,Josefa  Arias,Andres Justiniano
IFCP02,Jornada estratégica Infocap,Infocap,Non-profit,Estrategia,"[""Alejandra Loyola"",""Nicolás Díaz"",""Juan Pablo Vega"",""José Miguel Sepúlveda"",""Constanza Aguilera""]","[""Prioridades estratégicas"",""Diagnostico"",""Definiciones estratégicas"",""Focos estratégicos"",""Planificación estratégica"",""Dinámica de equipo"",""Directorio""]",Manuel Ureta,Director Ejecutivo Infocap,29/9/2025,23/10/2025,"Planificación estratégica para el non-profit Infocap, iniciando con un assessment estratégico y culminando con definiciones estratégicas y los principales hitos para los focos estratégicos 2026",/sites/Proyectos-TheHouse/Documentos compartidos/Infocap/IFCP02 - Taller estratégico,Josue Meneses,10/28/2025 5:24 AM,7/23/2026 6:22 PM,Vicente Chadwick,Constanza Aguilera,
LUN01,Evaluación y optimización de procesos de Planificación Financiera,Lundin Mining,Minería,Sistema organizacional,"[""Alejandra Loyola"",""Alfonso Undurraga"",""Nicolás Díaz"",""Sebastián Camus"",""Tomás Álvarez"",""Javier de Petris"",""José Miguel Sepúlveda""]","[""Estructura"",""Plan de implementación"",""Modelo operativo"",""Diagnostico"",""Socio estratégico"",""Descriptor de cargo"",""Optimización de procesos"",""Mapeo de procesos"",""Alineamiento ejecutivo""]",Juan Andrés Morel/ Rodrigo Carrño,Vicepresidente Ejecutivo & COO/ Director Regional,11/3/2025,12/4/2025,,/sites/Proyectos-TheHouse/Documentos compartidos/Lundin Mining/LUN01 - Evaluación y ajuste procesos Planificación Financiera,Josue Meneses,12/4/2025 5:32 AM,7/28/2026 2:16 PM,Vicente Chadwick,Javier de Petris,Benjamin Matte
COPEC01,Planificación estratégica Gerencia Divisional Comercial y Operaciones,Copec,Recursos naturales,Estrategia,"[""José Miguel Sepúlveda"",""Andrés Justiniano"",""Pablo Murillo"",""Andrés Mercado"",""Constanza Aguilera""]","[""Roadmap"",""Prioridades estratégicas"",""Plan de implementación"",""Seguimiento"",""Diagnostico"",""Definiciones estratégicas"",""Focos estratégicos"",""Iniciativas estratégicas"",""Planificación estratégica"",""Adyacencias"",""Negocio base""]",Pilar Larraín; Felipe Carpentier; José Ignacio Depassier,Líder de Planificación Estratégica Gerencia Comercial; Gerente Planificación Comercial; Gerente Divisional Comercial y Operaciones Chile,20/11/2025,24/12/2025,"Se trabajó en la planificación estratégica de la Gerencia Divisional Comercial y Operaciones. Se analizó el contexto actual de Copec, la robustez del negocio base, sus adyacencias actuales. Además. se definieron sus focos estratégicos, iniciativas e hitos clave, para luego construir la hoja de ruta consolidada. Por último, se definió el sistema de seguimiento para la implementación.
",/sites/Proyectos-TheHouse/Documentos compartidos/Copec/COPEC01 - Planificación estratégica Gerencia Div. Comercial y Op,Josue Meneses,12/24/2025 7:03 AM,8/18/2026 2:37 PM,Vicente Chadwick,Constanza Aguilera,Pablo Murillo
SOICHI01,Planificación Estratégica Soichi Holding,Soichi Holding,Consumo masivo,Estrategia,"[""Andrés Justiniano"",""Josefina Guridi"",""Andrés Mercado"",""Simón Merino"",""Joaquín Cerda""]","[""Alineamiento ejecutivo"",""Roadmap"",""Plan de implementación"",""Diagnostico"",""Planificación estratégica"",""Posicionamiento estratégico"",""Modelo de gobierno"",""Directorio"",""Adyacencias"",""Negocio base""]",Ricardo Ikeda Campos; Susana Ikeda Arismendi,Presidente ejecutivo Directorio Soichi Holding; Director Soichi Holding,20/8/2025,6/11/2025,"Se trabajó en la definición de una hoja de ruta para Soichi Holding al 2030, orientada a capturar oportunidades estratégicas de crecimiento. Se consensuaron los lineamientos estratégicos del rol del holding, se evaluó su posicionamiento estratégico, y se definió la estrategia de crecimiento 2025-2030 y su plan de implementación",/sites/Proyectos-TheHouse/Documentos compartidos/Soichi Holding/SOICHI01 - Planificación Estratégica,Josue Meneses,1/5/2026 5:19 AM,8/20/2026 7:16 AM,,Joaquín Cerda,Martín Rosenfeld
ACHS01,Apoyo en el seguimiento de la implementación y gestión del cambio,Achs,Salud,Gestión del cambio,"[""Elisa Robinson"",""Andrés Justiniano""]","[""Alineamiento ejecutivo"",""Roadmap"",""Agentes de cambio"",""Mapeo de stakeholders"",""Plan de gestión del cambio"",""Seguimiento"",""Encuesta de clima""]",Rodrigo de la Calle,Gerente División Desarrollo de Producto y Estrategia Digital,27/10/2025,30/1/2026,"Consolidación del roadmap de implementación del cambio de mutualidad en Cencosud​. 
Seguimiento al plan de implementación​
Diseño e implementación de un plan de comunicación y gestión del cambio
",/sites/Proyectos-TheHouse/Documentos compartidos/Achs/ACHS01 - Apoyo en el seguimiento de la implementación y gestión del cambio,Josue Meneses,2/4/2026 9:49 AM,8/4/2026 1:52 PM,,,Javier de Petris
AMCL02,Jornada Estratégica 2026,AmCham Chile,Servicios financieros,Estrategia,"[""Alfonso Undurraga"",""Sebastián Camus"",""Josefina Cruz""]","[""Directorio"",""Focos estratégicos"",""Definiciones estratégicas""]",Paula Estévez,Gerente General,25/11/2025,1/10/2026,Desarrollo de assessment estartégico y de Jornada Esratégica para diseñar hoja de ruta 2026,/sites/Proyectos-TheHouse/Documentos compartidos/AmCham/AMCL02 - Jornada estratégica AmCham 2026,Josue Meneses,2/16/2026 6:50 PM,8/20/2026 1:51 PM,,,Javier de Petris
CAS02,Diseño del Modelo de Gestión de Proyectos e Iniciativas,Clínica Alemana,Salud,Sistema organizacional,"[""Alejandra Loyola"",""Loredanna Celleri"",""Juan Pablo Vega"",""Sofía Delano"",""Tomás Álvarez""]","[""Benchmark"",""Estructura"",""Comités"",""Modelo operativo"",""Descriptor de cargo""]",Mathias Anwandter,Gerente de Administración y Finanzas,12/1/2026,3/3/2026,,/sites/Proyectos-TheHouse/Documentos compartidos/Clínica Alemana/CAS02 - Modelo de gestión de proyectos,Josue Meneses,3/3/2026 11:09 AM,7/23/2026 10:06 AM,Vicente Chadwick,Juan Pablo Vega,
Azerta01,Planificación estratégica Azerta,Azerta,Comunicaciones,Estrategia,"[""Andrés Justiniano"",""Josefina Guridi"",""Bernardita Lea-Plaza"",""Benjamín Matte""]","[""Roadmap"",""Prioridades estratégicas"",""Plan de implementación"",""Eficiencia"",""Definiciones estratégicas"",""Focos estratégicos"",""Iniciativas estratégicas"",""Planificación estratégica""]",Cristina Bitar y Felipe Edwards,Socios,2/2/2026,3/6/2026,Se trabajó en el análisis de la situación actual de Azerta y de su modelo de servicios profesionales; se definió la aspiración estratégica al 2028 junto con los focos estratégicos y sus principales iniciativas; y se diseñó una hoja de ruta consolidada con hitos clave y un relato comunicacional para su implementación,/sites/Proyectos-TheHouse/Documentos compartidos/Azerta/Azerta01,Josue Meneses,3/9/2026 6:09 AM,8/20/2026 7:16 AM,Bernardita Lea Plaza,Benjamin Matte,Florencia Santa Cruz
